measurement_id,formula_string,formula_class,C,H,O,N,S
7937,C35 H48 O14,CHO,35,48,14,0,0
7937,C28 H40 O8,CHO,28,40,8,0,0
7937,C25 H14 O11,CHO,25,14,11,0,0
7937,C28 H34 O12,CHO,28,34,12,0,0
7937,C15 H16 N2 O8,CHNO,15,16,8,2,0
7937,C18 H12 O6,CHO,18,12,6,0,0
7937,C26 H34 O6,CHO,26,34,6,0,0
7937,C14 H10 O6,CHO,14,10,6,0,0
7937,C26 H34 O14,CHO,26,34,14,0,0
7937,C25 H26 O13,CHO,25,26,13,0,0
7937,C15 H9 N1 O6,CHNO,15,9,6,1,0
7937,C20 H25 N1 O5,CHNO,20,25,5,1,0
7937,C24 H29 N1 O10,CHNO,24,29,10,1,0
7937,C20 H30 O3,CHO,20,30,3,0,0
7937,C14 H14 O8,CHO,14,14,8,0,0
7937,C7 H6 O4,CHO,7,6,4,0,0
7937,C20 H29 N1 O8,CHNO,20,29,8,1,0
7937,C10 H7 N1 O3,CHNO,10,7,3,1,0
7937,C16 H22 O7 S1,CHOS,16,22,7,0,1
7937,C24 H20 O7,CHO,24,20,7,0,0
7937,C16 H18 O7,CHO,16,18,7,0,0
7937,C26 H38 O9,CHO,26,38,9,0,0
7937,C24 H36 O6,CHO,24,36,6,0,0
7937,C21 H29 N1 O10,CHNO,21,29,10,1,0
7937,C19 H22 O5,CHO,19,22,5,0,0
7937,C21 H16 O6 S1,CHOS,21,16,6,0,1
7937,C21 H21 N1 O9,CHNO,21,21,9,1,0
7937,C15 H18 N2 O5,CHNO,15,18,5,2,0
7937,C23 H28 O8,CHO,23,28,8,0,0
7937,C30 H46 O6,CHO,30,46,6,0,0
7937,C17 H24 O7 S1,CHOS,17,24,7,0,1
7937,C27 H30 O11,CHO,27,30,11,0,0
7937,C20 H32 O5,CHO,20,32,5,0,0
7937,C14 H15 N1 O9,CHNO,14,15,9,1,0
7937,C15 H20 O6,CHO,15,20,6,0,0
7937,C20 H34 O6,CHO,20,34,6,0,0
7937,C18 H20 O8,CHO,18,20,8,0,0
