timepoint,cd_name,empty_slots,free_bikes,slots
12,Central Harlem (CD10),330,662,1092
12,Clinton and Chelsea (CD4),1415,1545,3438
12,Crown Heights and Prospect Heights (CD8),592,419,1108
12,East Flatbush (CD17),24,542,589
12,East Harlem (CD11),425,682,1209
12,East New York and Starrett City (CD5),48,13,66
12,Elmhurst and Corona (CD4),293,683,1013
12,Financial District (CD1),963,1616,2809
12,Flatbush and Midwood (CD14),38,455,526
12,Fordham and University Heights (CD5),584,295,955
12,Fort Greene and Brooklyn Heights (CD2),1283,1769,3275
12,Greenpoint and Williamsburg (CD1),1087,2179,3453
12,Greenwich Village and Soho (CD2),1054,1600,3060
12,Highbridge and Concourse (CD4),567,622,1289
12,Hunts Point and Longwood (CD2),236,232,491
12,Jackson Heights (CD3),920,794,1783
12,Kingsbridge Heights and Bedford (CD7),519,402,1026
12,Long Island City and Astoria (CD1),1224,1654,3046
12,Lower East Side and Chinatown (CD3),1110,2406,3864
12,Midtown (CD5),3154,604,4178
12,Morningside Heights and Hamilton Heights (CD9),690,297,1094
12,Morrisania and Crotona (CD3),330,426,830
12,Mott Haven and Melrose (CD1),462,589,1151
12,Park Slope and Carroll Gardens (CD6),540,1365,2132
12,Ridgewood and Maspeth (CD5),630,692,1380
12,Riverdale and Fieldston (CD8),156,10,167
12,South Crown Heights and Lefferts Gardens (CD9),433,647,1128
12,Stuyvesant Town and Turtle Bay (CD6),1397,866,2496
12,Sunset Park (CD7),529,1103,1699
12,Upper East Side (CD8),1111,781,2088
12,Upper West Side (CD7),662,972,1884
12,Washington Heights and Inwood (CD12),789,612,1515
12,Woodside and Sunnyside (CD2),1076,1027,2218
13,Bay Ridge and Dyker Heights (CD10),24,108,146
13,Bedford Stuyvesant (CD3),763,504,1372
13,Belmont and East Tremont (CD6),293,101,425
13,Borough Park (CD12),23,218,252
13,Brownsville (CD16),344,104,459
13,Bushwick (CD4),827,536,1449
13,Central Harlem (CD10),356,636,1092
13,Clinton and Chelsea (CD4),1540,1423,3438
13,Crown Heights and Prospect Heights (CD8),633,378,1108
13,East Flatbush (CD17),24,542,589
13,East Harlem (CD11),430,678,1209
13,East New York and Starrett City (CD5),48,13,66
13,Elmhurst and Corona (CD4),288,686,1013
13,Financial District (CD1),966,1619,2809
13,Flatbush and Midwood (CD14),40,453,526
13,Fordham and University Heights (CD5),591,288,955
13,Fort Greene and Brooklyn Heights (CD2),1294,1757,3275
13,Greenpoint and Williamsburg (CD1),1120,2141,3453
13,Greenwich Village and Soho (CD2),1039,1624,3060
13,Highbridge and Concourse (CD4),566,622,1289
13,Hunts Point and Longwood (CD2),237,230,491
13,Jackson Heights (CD3),935,775,1783
13,Kingsbridge Heights and Bedford (CD7),519,403,1026
13,Long Island City and Astoria (CD1),1246,1634,3046
13,Lower East Side and Chinatown (CD3),1250,2260,3864
13,Midtown (CD5),3053,704,4178
13,Morningside Heights and Hamilton Heights (CD9),683,304,1094
13,Morrisania and Crotona (CD3),332,423,830
13,Mott Haven and Melrose (CD1),464,588,1151
13,Park Slope and Carroll Gardens (CD6),543,1363,2132
13,Ridgewood and Maspeth (CD5),647,680,1380
13,Riverdale and Fieldston (CD8),157,9,167
13,South Crown Heights and Lefferts Gardens (CD9),438,641,1128
13,Stuyvesant Town and Turtle Bay (CD6),1411,853,2496
13,Sunset Park (CD7),548,1084,1699
13,Upper East Side (CD8),1119,769,2088
13,Upper West Side (CD7),744,889,1884
13,Washington Heights and Inwood (CD12),798,604,1515
13,Woodside and Sunnyside (CD2),1084,1020,2218
14,Bay Ridge and Dyker Heights (CD10),28,104,146
14,Bedford Stuyvesant (CD3),817,451,1372
14,Belmont and East Tremont (CD6),297,96,425
14,Borough Park (CD12),31,210,252
14,Brownsville (CD16),348,102,459
14,Bushwick (CD4),837,529,1449
14,Central Harlem (CD10),421,575,1092
14,Clinton and Chelsea (CD4),1715,1242,3438
14,Crown Heights and Prospect Heights (CD8),730,283,1108
14,East Flatbush (CD17),33,534,589
14,East Harlem (CD11),452,655,1209
14,East New York and Starrett City (CD5),48,13,66
14,Elmhurst and Corona (CD4),281,693,1013
14,Financial District (CD1),888,1690,2809
14,Flatbush and Midwood (CD14),50,443,526
14,Fordham and University Heights (CD5),601,277,955
14,Fort Greene and Brooklyn Heights (CD2),1309,1732,3275
14,Greenpoint and Williamsburg (CD1),1205,2045,3453
14,Greenwich Village and Soho (CD2),1061,1604,3060
14,Highbridge and Concourse (CD4),574,616,1289
14,Hunts Point and Longwood (CD2),243,224,491
14,Jackson Heights (CD3),962,747,1783
14,Kingsbridge Heights and Bedford (CD7),532,393,1026
14,Long Island City and Astoria (CD1),1302,1577,3046
