formula_string,C,H,O,N,S
C22 13C1 H22 O14,22,22,14,0,0
C25 H19 N1 O14,25,19,14,1,0
C30 H28 O22,30,28,22,0,0
C17 H16 O13,17,16,13,0,0
C24 13C1 H11 N1 O15 S1,24,11,15,1,1
C28 H19 N1 O15 S1,28,19,15,1,1
C29 13C1 H22 O22,29,22,22,0,0
C32 H26 N2 O19 S1,32,26,19,2,1
C26 H21 N1 O18,26,21,18,1,0
C20 H12 O11,20,12,11,0,0
C37 H26 O24,37,26,24,0,0
C28 H17 N1 O15 S1,28,17,15,1,1
C8 H8 O5,8,8,5,0,0
C40 H72 N2 S1,40,72,0,2,1
C18 H16 O15,18,16,15,0,0
C10 H6 O10,10,6,10,0,0
C32 H24 N2 O18,32,24,18,2,0
C16 H10 O9 S1,16,10,9,0,1
C28 H30 N2 O24 S1,28,30,24,2,1
C36 H26 O22,36,26,22,0,0
C31 13C1 H30 O24,31,30,24,0,0
C10 H9 N1 O7,10,9,7,1,0
C12 H18 O10,12,18,10,0,0
C20 H23 N1 O13,20,23,13,1,0
C43 H78 O5 S1,43,78,5,0,1
C26 H26 O14,26,26,14,0,0
C9 H14 O8,9,14,8,0,0
C25 H19 N1 O17,25,19,17,1,0
C21 H14 O14,21,14,14,0,0
C18 H19 N1 O12,18,19,12,1,0
C19 H14 O10 S1,19,14,10,0,1
C25 H13 N1 O17,25,13,17,1,0
C35 13C1 H76 N2 O4 S1,35,76,4,2,1
C20 H24 O9,20,24,9,0,0
C16 H19 N1 O9,16,19,9,1,0
C14 H12 O15 S1,14,12,15,0,1
C21 H22 O16,21,22,16,0,0
C20 H26 O10,20,26,10,0,0
C41 H74 O6,41,74,6,0,0
C16 H18 O13,16,18,13,0,0
C32 13C1 H24 O20,32,24,20,0,0
C34 H26 O23,34,26,23,0,0
C24 13C1 H20 O19,24,20,19,0,0
C27 H24 O14,27,24,14,0,0
C38 H32 O24,38,32,24,0,0
C24 H17 N1 O13,24,17,13,1,0
C25 H13 N1 O15,25,13,15,1,0
C23 H17 N1 O13 S1,23,17,13,1,1
C28 H16 O20,28,16,20,0,0
C17 H22 O13,17,22,13,0,0
C25 13C1 H16 O12 S1 34S1,25,16,12,0,1
C21 H16 O13,21,16,13,0,0
C18 13C1 H24 O12,18,24,12,0,0
C17 H30,17,30,0,0,0
C27 H20 N2 O17,27,20,17,2,0
C17 H16 O9,17,16,9,0,0
C32 H30 O20,32,30,20,0,0
C39 H36 N2 O26 S1,39,36,26,2,1
C10 H6 O4,10,6,4,0,0
C23 H19 N1 O12 S1,23,19,12,1,1
C12 H12 O10,12,12,10,0,0
C13 H13 N1 O10,13,13,10,1,0
C11 H10 O7,11,10,7,0,0
C21 H18 N2 O20,21,18,20,2,0
C17 13C1 H14 O11,17,14,11,0,0
C34 H28 O21,34,28,21,0,0
C23 H28 O12,23,28,12,0,0
C23 13C1 H18 O17,23,18,17,0,0
C24 13C1 H18 O18,24,18,18,0,0
C33 H22 N2 O20,33,22,20,2,0
C29 H20 O18,29,20,18,0,0
C33 13C1 H26 O20,33,26,20,0,0
C33 H18 O21,33,18,21,0,0
C15 H8 N2 O15,15,8,15,2,0
C16 H18 N2 O10,16,18,10,2,0
C40 H78 N2 O3,40,78,3,2,0
C35 H24 O23,35,24,23,0,0
C23 H19 N1 O14,23,19,14,1,0
C18 13C1 H24 O13,18,24,13,0,0
C25 H30 O14,25,30,14,0,0
C22 13C1 H12 O15,22,12,15,0,0
C17 13C1 H18 O13,17,18,13,0,0
C30 H34 O20,30,34,20,0,0
C28 13C1 H26 O19,28,26,19,0,0
C27 H30 O20,27,30,20,0,0
C29 H14 O18,29,14,18,0,0
C19 H14 O13,19,14,13,0,0
C34 H32 O21,34,32,21,0,0
C12 H12 O4,12,12,4,0,0
C21 13C1 H18 O17,21,18,17,0,0
C19 13C1 H22 O12,19,22,12,0,0
C10 H8 O8 S1,10,8,8,0,1
C33 H22 N2 O18,33,22,18,2,0
C28 H22 O11 S1 34S1,28,22,11,0,1
C30 H16 N2 O17,30,16,17,2,0
C16 H14 O13,16,14,13,0,0
C36 H72 34S1,36,72,0,0,0
C33 13C1 H70 O1,33,70,1,0,0
C18 13C1 H22 O11,18,22,11,0,0
C27 H22 N2 O18 S1,27,22,18,2,1
C12 H10 O11,12,10,11,0,0
C17 H16 N2 O18,17,16,18,2,0
C17 H16 O14,17,16,14,0,0
C31 H32 O19,31,32,19,0,0
C18 13C1 H14 O15,18,14,15,0,0
C25 H24 N2 O24 S1,25,24,24,2,1
C33 H20 O22,33,20,22,0,0
C39 H72 N2 O2,39,72,2,2,0
C20 H14 O12,20,14,12,0,0
C49 H77 N1 O2,49,77,2,1,0
C25 13C1 H28 O18,25,28,18,0,0
C19 H12 N2 O19 S1,19,12,19,2,1
C15 H12 O12,15,12,12,0,0
C15 H16 O11,15,16,11,0,0
C15 H18 O9,15,18,9,0,0
C20 13C1 H18 N2 O12 S1 34S1,20,18,12,2,1
C19 H12 O14 S1,19,12,14,0,1
C16 H12 O10,16,12,10,0,0
C27 13C1 H26 O19,27,26,19,0,0
C25 H17 N1 O18,25,17,18,1,0
C32 13C1 H19 N1 O21,32,19,21,1,0
C34 H22 O19 S1,34,22,19,0,1
C35 H28 O20 S1,35,28,20,0,1
C23 13C1 H16 O18,23,16,18,0,0
C31 H29 N1 O21 S1,31,29,21,1,1
C22 H26 N2 O21 S1,22,26,21,2,1
C30 H22 O19,30,22,19,0,0
C30 H46 N2 O2,30,46,2,2,0
C29 H30 O16,29,30,16,0,0
C28 H26 O19,28,26,19,0,0
C48 H84 O7 S1,48,84,7,0,1
C25 H32 O16,25,32,16,0,0
C13 H17 N1 O8,13,17,8,1,0
C22 H28 O13,22,28,13,0,0
C13 H10 O12 S1,13,10,12,0,1
C15 13C1 H18 O12,15,18,12,0,0
C25 13C1 H26 O17,25,26,17,0,0
C20 H18 O18 S1,20,18,18,0,1
C47 H75 N1 O2,47,75,2,1,0
C26 H28 N2 O23 S1,26,28,23,2,1
C34 H24 O21,34,24,21,0,0
C26 H12 N2 O15,26,12,15,2,0
C21 H11 N1 O13,21,11,13,1,0
C20 H11 N1 O13 S1,20,11,13,1,1
C18 H16 N2 O18,18,16,18,2,0
C24 H24 O18,24,24,18,0,0
C40 H74 O2 S1,40,74,2,0,1
C27 13C1 H22 O19,27,22,19,0,0
C11 13C1 H6 O9,11,6,9,0,0
C17 13C1 H14 O15,17,14,15,0,0
C16 13C1 H22 O12,16,22,12,0,0
C30 H20 O19,30,20,19,0,0
C34 H28 O22,34,28,22,0,0
C22 H16 O16,22,16,16,0,0
C21 13C1 H20 N2 O18,21,20,18,2,0
C25 13C1 H24 O18,25,24,18,0,0
C34 H32 O20,34,32,20,0,0
C12 13C1 H10 O11,12,10,11,0,0
C25 H16 O16,25,16,16,0,0
C13 13C1 H14 O12,13,14,12,0,0
C20 13C1 H11 N1 O17,20,11,17,1,0
C22 H14 O15 S1,22,14,15,0,1
C24 H23 N1 O13,24,23,13,1,0
C7 H16 O8,7,16,8,0,0
C33 H32 O22,33,32,22,0,0
C14 H18 O6,14,18,6,0,0
C31 H27 N1 O16 S1,31,27,16,1,1
C18 H13 N1 O10,18,13,10,1,0
C16 H22 O10,16,22,10,0,0
C13 H8 O12,13,8,12,0,0
C33 H26 O21,33,26,21,0,0
C32 H30 O22,32,30,22,0,0
C23 13C1 H18 O18,23,18,18,0,0
C29 H23 N1 O17,29,23,17,1,0
C18 H16 O14,18,16,14,0,0
C28 H20 N2 O15,28,20,15,2,0
C14 H10 O8,14,10,8,0,0
C15 13C1 H14 O13,15,14,13,0,0
C25 H14 O18,25,14,18,0,0
C21 H20 O12,21,20,12,0,0
C27 13C1 H24 O19,27,24,19,0,0
C14 H16 O9 S1,14,16,9,0,1
C21 H24 N2 O18,21,24,18,2,0
C18 H14 N2 O19,18,14,19,2,0
C16 H18 O16 S1,16,18,16,0,1
C11 H10 O8,11,10,8,0,0
C31 H34 O19,31,34,19,0,0
C22 13C1 H26 O14,22,26,14,0,0
C14 H14 N2 O8,14,14,8,2,0
C39 H30 O24,39,30,24,0,0
C13 H9 N1 O8,13,9,8,1,0
C35 13C1 H72 O3,35,72,3,0,0
C33 H21 N1 O16 S1,33,21,16,1,1
C11 H10 O9,11,10,9,0,0
C18 H6 O6 S1,18,6,6,0,1
C44 H83 N1 O8 S1,44,83,8,1,1
C37 H76 O6 S1,37,76,6,0,1
C24 13C1 H18 O17,24,18,17,0,0
C32 H30 O18,32,30,18,0,0
C16 H10 O12 S1,16,10,12,0,1
C21 13C1 H20 O17,21,20,17,0,0
C21 13C1 H16 O19,21,16,19,0,0
C24 13C1 H22 O17,24,22,17,0,0
C17 H22 O12,17,22,12,0,0
C25 H28 O13,25,28,13,0,0
C26 H25 N1 O22 S1,26,25,22,1,1
C9 H14 O10 S1,9,14,10,0,1
C23 H20 O15,23,20,15,0,0
C10 13C1 H12 O7,10,12,7,0,0
C33 H22 O19,33,22,19,0,0
C22 13C1 H18 O17,22,18,17,0,0
C12 H8 O5,12,8,5,0,0
C35 13C1 H30 O23,35,30,23,0,0
C27 H30 O17,27,30,17,0,0
C37 H76 O4,37,76,4,0,0
C27 H25 N1 O21,27,25,21,1,0
C27 H23 N1 O18 S1,27,23,18,1,1
C40 H80 O3 S1,40,80,3,0,1
C19 H22 O11,19,22,11,0,0
C20 13C1 H12 O14,20,12,14,0,0
C29 H30 O18,29,30,18,0,0
C20 H22 O10,20,22,10,0,0
C19 H14 O15 S1,19,14,15,0,1
C16 H9 N1 O9,16,9,9,1,0
C28 13C1 H24 O19,28,24,19,0,0
C36 H29 N1 O24,36,29,24,1,0
C22 H17 N1 O16 S1 34S1,22,17,16,1,1
C30 H21 N1 O19,30,21,19,1,0
C26 H51 N1 O11,26,51,11,1,0
C22 13C1 H26 O15,22,26,15,0,0
C36 H72 O4,36,72,4,0,0
C44 H74 N2 O2 S1,44,74,2,2,1
C28 13C1 H24 O23,28,24,23,0,0
C28 H28 N2 O25 S1,28,28,25,2,1
C36 H24 O23,36,24,23,0,0
C21 13C1 H22 O18,21,22,18,0,0
C31 H18 O20,31,18,20,0,0
C25 13C1 H26 O16,25,26,16,0,0
C12 H14 N2 O6,12,14,6,2,0
C17 13C1 H16 O9,17,16,9,0,0
C21 13C1 H14 O16,21,14,16,0,0
C10 13C1 H14 O6,10,14,6,0,0
C14 H14 O11,14,14,11,0,0
C30 H32 N2 O26 S1,30,32,26,2,1
C29 H22 O21,29,22,21,0,0
C37 H30 O23,37,30,23,0,0
C32 H22 O18 S1,32,22,18,0,1
C14 H14 O10 S1,14,14,10,0,1
C37 H72 O4,37,72,4,0,0
C17 H11 N1 O13 S1,17,11,13,1,1
C23 H14 O12 S1,23,14,12,0,1
C18 H11 N1 O11,18,11,11,1,0
C14 H16 N2 O15 S1,14,16,15,2,1
C22 H12 O13,22,12,13,0,0
C21 H14 N2 O18,21,14,18,2,0
C25 13C1 H16 N2 O20,25,16,20,2,0
C24 13C1 H28 O17,24,28,17,0,0
C27 H20 O17,27,20,17,0,0
C20 H8 O13,20,8,13,0,0
C17 H15 N1 O12,17,15,12,1,0
C14 H13 N1 O9,14,13,9,1,0
C14 H6 O8,14,6,8,0,0
C19 H14 O15,19,14,15,0,0
C19 H21 N1 O13,19,21,13,1,0
C8 13C1 H12 O8,8,12,8,0,0
C24 H20 O20,24,20,20,0,0
C23 H20 O12,23,20,12,0,0
C18 H17 N1 O10,18,17,10,1,0
C31 H20 O22,31,20,22,0,0
C32 H22 O22,32,22,22,0,0
C39 H76 O4 S1,39,76,4,0,1
C23 13C1 H12 O17,23,12,17,0,0
C20 H20 N2 O19,20,20,19,2,0
C22 13C1 H18 O16,22,18,16,0,0
C16 H12 O2 S1,16,12,2,0,1
C29 H26 O17,29,26,17,0,0
C19 13C1 H16 O14,19,16,14,0,0
C33 H24 O22,33,24,22,0,0
C39 H30 O26,39,30,26,0,0
C25 H18 N2 O19,25,18,19,2,0
C13 H14 O8,13,14,8,0,0
C28 H24 O18,28,24,18,0,0
C21 H26 O12,21,26,12,0,0
C23 H24 O11,23,24,11,0,0
C29 H21 N1 O13 S1,29,21,13,1,1
C17 H20 N2 O8,17,20,8,2,0
C27 H29 N1 O22 S1 34S1,27,29,22,1,1
C26 H16 O21,26,16,21,0,0
C19 H38 O2,19,38,2,0,0
C26 H12 O20,26,12,20,0,0
C23 H12 N2 O21 S1,23,12,21,2,1
C37 H28 O21 34S1,37,28,21,0,0
C36 H26 O24,36,26,24,0,0
C21 H30 O11,21,30,11,0,0
C9 H19 N1 O4 S1,9,19,4,1,1
C19 13C1 H22 O9,19,22,9,0,0
C27 H26 O13,27,26,13,0,0
C30 H25 N1 O25 S1,30,25,25,1,1
C17 H21 N1 O9,17,21,9,1,0
C34 13C1 H72 O1,34,72,1,0,0
C18 H21 N1 O8,18,21,8,1,0
C35 H32 O25,35,32,25,0,0
C18 H13 N1 O9,18,13,9,1,0
C31 H46 O3,31,46,3,0,0
C20 H28 O11,20,28,11,0,0
C48 H86 O6 S1,48,86,6,0,1
C13 H28 N2,13,28,0,2,0
C35 13C1 H72 O1,35,72,1,0,0
C23 H23 N1 O13,23,23,13,1,0
C32 H19 N1 O15 34S1,32,19,15,1,0
C41 H74 O1 S1,41,74,1,0,1
C20 H6 N2 O13,20,6,13,2,0
C22 13C1 H17 N1 O23,22,17,23,1,0
C26 H22 O12,26,22,12,0,0
C39 H75 N1 O3 S1,39,75,3,1,1
C55 H81 N1 O6 S1,55,81,6,1,1
C28 13C1 H30 O17,28,30,17,0,0
C42 H78 O6,42,78,6,0,0
C47 H80 O5,47,80,5,0,0
C16 H15 N1 O13 S1,16,15,13,1,1
C24 H18 O26,24,18,26,0,0
C20 13C1 H26 O10,20,26,10,0,0
C37 H29 N1 O15 S1,37,29,15,1,1
C18 H14 O2 S1,18,14,2,0,1
C19 H15 N1 O21,19,15,21,1,0
C22 H20 O11 S1,22,20,11,0,1
C24 H21 N1 O23 S1,24,21,23,1,1
C39 13C1 H81 N1 O8 S1,39,81,8,1,1
C40 H78 N2 O1 S1,40,78,1,2,1
C29 H20 N2 O14 S1,29,20,14,2,1
C25 H32 N2 O19 S1,25,32,19,2,1
C33 H28 O17,33,28,17,0,0
C21 H27 N1 O18 S1,21,27,18,1,1
C34 H36 O20,34,36,20,0,0
C25 H9 N1 O15,25,9,15,1,0
C32 H18 O20 S1,32,18,20,0,1
C35 H32 O29,35,32,29,0,0
C27 H15 N1 O16,27,15,16,1,0
C30 13C1 H18 O19,30,18,19,0,0
C22 H19 N1 O16,22,19,16,1,0
C17 13C1 H14 O12 S1,17,14,12,0,1
C33 H20 O19,33,20,19,0,0
C23 H11 N1 O15 S1,23,11,15,1,1
C23 H22 O10,23,22,10,0,0
C37 H40 O23 S1,37,40,23,0,1
C24 H19 N1 O11 S1,24,19,11,1,1
C28 H28 N2 O22 S1,28,28,22,2,1
C11 13C1 H12 O6,11,12,6,0,0
C13 H12 O4,13,12,4,0,0
C28 H30 O13,28,30,13,0,0
C19 H8 O10,19,8,10,0,0
C29 H14 O16 S1,29,14,16,0,1
C32 H24 N2 O17,32,24,17,2,0
C25 H16 O24,25,16,24,0,0
C44 H78 O3 S1,44,78,3,0,1
C44 H78 O5 S1,44,78,5,0,1
C37 H77 N1 O6 S1,37,77,6,1,1
C25 H18 N2 O14 S1,25,18,14,2,1
C28 H24 O15 S1,28,24,15,0,1
C47 H76 N2 O2 S1,47,76,2,2,1
C26 H14 N2 O12 S1 34S1,26,14,12,2,1
C38 H74 O3,38,74,3,0,0
C29 13C1 H14 N2 O17,29,14,17,2,0
C31 H17 N1 O15 S1,31,17,15,1,1
C38 H74 N2,38,74,0,2,0
C23 H26 N2 O20 S1,23,26,20,2,1
C30 H23 N1 O23,30,23,23,1,0
C15 H14 O6,15,14,6,0,0
C18 13C1 H18 O9,18,18,9,0,0
C15 13C1 H18 O7,15,18,7,0,0
C16 13C1 H16 O8,16,16,8,0,0
C22 H21 N1 O23 S1,22,21,23,1,1
C17 13C1 H16 O16 S1,17,16,16,0,1
C28 H32 N2 O22 S1,28,32,22,2,1
C36 H28 O20,36,28,20,0,0
C21 H14 O12 S1,21,14,12,0,1
C33 H21 N1 O23,33,21,23,1,0
C27 H34 O17,27,34,17,0,0
C30 H16 O16 S1,30,16,16,0,1
C37 H70 O4,37,70,4,0,0
C19 H23 N1 O18 S1,19,23,18,1,1
C46 H78 N2 O9,46,78,9,2,0
C38 H79 N1 O3 S1,38,79,3,1,1
C38 H79 N1 O2 S1 34S1,38,79,2,1,1
C39 13C1 H74 N2 O2 S1,39,74,2,2,1
C37 H72 N2 O6,37,72,6,2,0
C23 H28 O10,23,28,10,0,0
C46 H80 N2 O3 S1,46,80,3,2,1
C17 H17 N1 O7,17,17,7,1,0
C22 H18 O10 S1,22,18,10,0,1
C22 13C1 H26 O12,22,26,12,0,0
C16 13C1 H6 O5 S1,16,6,5,0,1
C36 H73 N1 O9,36,73,9,1,0
C47 H76 O3 S1,47,76,3,0,1
C19 H13 N1 O15,19,13,15,1,0
C27 H35 N1 O21 S1 34S1,27,35,21,1,1
C24 H25 N1 O13,24,25,13,1,0
C31 H27 N1 O17 S1,31,27,17,1,1
C20 13C1 H24 O10,20,24,10,0,0
C46 13C1 H76 O4,46,76,4,0,0
C38 H70 O7,38,70,7,0,0
C17 13C1 H10 O11,17,10,11,0,0
C34 H34 O19,34,34,19,0,0
C32 H32 O17,32,32,17,0,0
C14 13C1 H20 O7,14,20,7,0,0
C33 H28 N2 O26 S1,33,28,26,2,1
C25 H25 N1 O14,25,25,14,1,0
C40 H81 N1 O11,40,81,11,1,0
C38 H32 O26,38,32,26,0,0
C15 13C1 H22 O11,15,22,11,0,0
C47 H78 O4,47,78,4,0,0
C19 H28 O11,19,28,11,0,0
C27 H27 N1 O17 S1,27,27,17,1,1
C10 H16 O10 S1,10,16,10,0,1
C22 13C1 H30 O14,22,30,14,0,0
C8 H8 O4,8,8,4,0,0
C7 H5 N1 O7 S1,7,5,7,1,1
C35 H33 N1 O24 S1,35,33,24,1,1
C21 H14 O10 S1,21,14,10,0,1
C26 H32 O13,26,32,13,0,0
C21 13C1 H28 O12,21,28,12,0,0
C35 H34 O20,35,34,20,0,0
C39 H69 N1 O4,39,69,4,1,0
C19 H20 O19 S1,19,20,19,0,1
C28 13C1 H32 O18,28,32,18,0,0
C24 H22 O5 S1,24,22,5,0,1
C16 13C1 H24 O10,16,24,10,0,0
C38 H76 N2 O11,38,76,11,2,0
C28 H23 N1 O17 S1 34S1,28,23,17,1,1
C27 H21 N1 O20 S1,27,21,20,1,1
C18 H23 N1 O12,18,23,12,1,0
C33 H32 N2 O24 S1,33,32,24,2,1
C26 H30 O12,26,30,12,0,0
C33 H29 N1 O27,33,29,27,1,0
C31 13C1 H20 O22,31,20,22,0,0
C20 H13 N1 O19,20,13,19,1,0
C31 H26 O10 S1,31,26,10,0,1
C26 13C1 H26 N2 O23 S1,26,26,23,2,1
C34 13C1 H22 O21,34,22,21,0,0
C10 H10 O6,10,10,6,0,0
C23 H18 O23 S1,23,18,23,0,1
C10 H16 O11 S1,10,16,11,0,1
C25 H20 N2 O12 S1,25,20,12,2,1
C27 H32 O14,27,32,14,0,0
C7 H8 O8 S1,7,8,8,0,1
C28 H32 O15,28,32,15,0,0
C40 H78 O5,40,78,5,0,0
C13 H10 O1,13,10,1,0,0
C20 H17 N1 O21,20,17,21,1,0
C30 H28 O25,30,28,25,0,0
C36 H28 O20 34S1,36,28,20,0,0
C22 H20 O23 S1,22,20,23,0,1
C25 H32 O11,25,32,11,0,0
C29 H20 O12 S1 34S1,29,20,12,0,1
C26 H18 O15 S1,26,18,15,0,1
C14 H19 N1 O8,14,19,8,1,0
C21 13C1 H28 O11,21,28,11,0,0
C34 13C1 H28 O23,34,28,23,0,0
C18 H14 O12 34S1,18,14,12,0,0
C36 13C1 H32 O23,36,32,23,0,0
C31 13C1 H26 O18,31,26,18,0,0
C37 13C1 H74 O3,37,74,3,0,0
C17 H21 N1 O18 S1,17,21,18,1,1
C33 H22 N2 O23,33,22,23,2,0
C28 13C1 H18 O21,28,18,21,0,0
C10 H12 O3,10,12,3,0,0
C26 H34 O13,26,34,13,0,0
C19 H16 N2 O21 S1,19,16,21,2,1
C37 H69 N1 O2,37,69,2,1,0
C32 H18 N2 O17,32,18,17,2,0
C20 H6 N2 O11,20,6,11,2,0
C41 H83 N1 O7,41,83,7,1,0
C27 H32 N2 O23 S1 34S1,27,32,23,2,1
C35 H28 O21 34S1,35,28,21,0,0
C32 H25 N1 O17,32,25,17,1,0
C35 H71 N1 O2 S1,35,71,2,1,1
C32 13C1 H32 O23,32,32,23,0,0
C33 13C1 H30 O23,33,30,23,0,0
C22 H16 O13 S1,22,16,13,0,1
C28 13C1 H30 N2 O25 S1,28,30,25,2,1
C36 13C1 H26 O23,36,26,23,0,0
C39 13C1 H72 O1 S1,39,72,1,0,1
C15 13C1 H17 N1 O19,15,17,19,1,0
C51 H80 O6,51,80,6,0,0
C40 H78 O4 S1,40,78,4,0,1
C26 H34 O14,26,34,14,0,0
C32 H17 N1 O22,32,17,22,1,0
C30 H36 O17,30,36,17,0,0
C8 13C1 H6 O6,8,6,6,0,0
C25 H26 O12,25,26,12,0,0
C27 H18 N2 O15 S1,27,18,15,2,1
C41 H74,41,74,0,0,0
C32 H29 N1 O22,32,29,22,1,0
C43 H79 N1 O9,43,79,9,1,0
C27 H23 N1 O14,27,23,14,1,0
C7 13C1 H12 O5,7,12,5,0,0
C17 H26 O11,17,26,11,0,0
C36 H75 N1 O8 S1,36,75,8,1,1
C21 H20 O10 S1,21,20,10,0,1
C41 H76 O3,41,76,3,0,0
C25 H18 N2 O21 S1,25,18,21,2,1
C30 H17 N1 O16 S1,30,17,16,1,1
C26 H22 O23 S1,26,22,23,0,1
C22 13C1 H24 O12,22,24,12,0,0
C20 H19 N1 O10,20,19,10,1,0
C28 H12 N2 O18,28,12,18,2,0
C16 H20 N2 O8,16,20,8,2,0
C11 H13 N1 O5,11,13,5,1,0
C40 H80 O6,40,80,6,0,0
C22 13C1 H16 O14 S1,22,16,14,0,1
C39 13C1 H80 O7 S1,39,80,7,0,1
C36 H36 O22,36,36,22,0,0
C15 13C1 H12 O8,15,12,8,0,0
C25 H27 N1 O22 S1,25,27,22,1,1
C18 H12 O11 S1,18,12,11,0,1
C20 13C1 H18 O20 S1,20,18,20,0,1
C34 H30 O28,34,30,28,0,0
C40 H69 N1 O6,40,69,6,1,0
C21 H15 N1 O17 S1,21,15,17,1,1
C35 H31 N1 O20,35,31,20,1,0
C13 13C1 H20 O7,13,20,7,0,0
C44 13C1 H73 N1,44,73,0,1,0
C25 H16 N2 O14 S1,25,16,14,2,1
C44 H74 N2 O6 S1,44,74,6,2,1
C23 13C1 H30 O16,23,30,16,0,0
C40 13C1 H74,40,74,0,0,0
C25 13C1 H32 O14,25,32,14,0,0
C36 H30 O22,36,30,22,0,0
C14 H14 N2 O10 S1 34S1,14,14,10,2,1
C33 H28 N2 O19 S1,33,28,19,2,1
C49 H80 O5 S1,49,80,5,0,1
C26 H22 N2 O26 S1,26,22,26,2,1
C25 H15 N1 O16 S1,25,15,16,1,1
C26 H14 N2 O13 34S1,26,14,13,2,0
C25 H20 N2 O18 S1,25,20,18,2,1
C43 H87 N1 O10 S1,43,87,10,1,1
C20 13C1 H11 N1 O14,20,11,14,1,0
C22 H14 O12 S1,22,14,12,0,1
C35 H74 N2 O1,35,74,1,2,0
C35 H24 O23 S1,35,24,23,0,1
C27 H18 N2 O19 S1,27,18,19,2,1
C21 H11 N1 O11 S1,21,11,11,1,1
C30 H28 N2 O27,30,28,27,2,0
C42 H73 N1 O7,42,73,7,1,0
C28 13C1 H20 O18,28,20,18,0,0
C14 H8 N2 O14,14,8,14,2,0
C31 H26 O16,31,26,16,0,0
C12 H12 O8 S1,12,12,8,0,1
C24 H22 N2 O10 S1,24,22,10,2,1
C28 H23 N1 O27,28,23,27,1,0
C28 H12 N2 O18 S1,28,12,18,2,1
C35 H24 N2 O19,35,24,19,2,0
C41 H78 O9,41,78,9,0,0
C26 H16 N2 O15,26,16,15,2,0
C32 13C1 H28 O20,32,28,20,0,0
C27 H25 N1 O22 S1,27,25,22,1,1
C29 H22 O10 S1,29,22,10,0,1
C31 13C1 H18 O19,31,18,19,0,0
C26 13C1 H18 O20,26,18,20,0,0
C25 H16 O21 S1,25,16,21,0,1
C40 13C1 H78 O5,40,78,5,0,0
C21 H23 N1 O15,21,23,15,1,0
C36 H34 O22,36,34,22,0,0
C30 H16 N2 O18,30,16,18,2,0
C28 13C1 H28 O17,28,28,17,0,0
C22 H16 O12 S1,22,16,12,0,1
C24 13C1 H26 O13,24,26,13,0,0
C26 H16 N2 O14 S1 34S1,26,16,14,2,1
C25 H13 N1 O13 S1,25,13,13,1,1
C20 H15 N1 O12 S1,20,15,12,1,1
C18 H15 N1 O8,18,15,8,1,0
C22 H18 N2 O12,22,18,12,2,0
C26 H36 N2 O20 S1,26,36,20,2,1
C34 H32 O18,34,32,18,0,0
C13 H15 N1 O6,13,15,6,1,0
C33 H29 N1 O21 S1,33,29,21,1,1
C26 13C1 H20 O15,26,20,15,0,0
C26 13C1 H30 O17,26,30,17,0,0
C32 H21 N1 O20 S1,32,21,20,1,1
C22 H24 N2 O12,22,24,12,2,0
C25 H18 N2 O19 S1,25,18,19,2,1
C17 H8 O4 S1,17,8,4,0,1
C40 H78 O4,40,78,4,0,0
C20 H6 N2 O14,20,6,14,2,0
C30 13C1 H18 O19 S1,30,18,19,0,1
C23 H24 O10,23,24,10,0,0
C11 H5 N1 O4 S1,11,5,4,1,1
C19 13C1 H12 O11,19,12,11,0,0
C32 H18 O19,32,18,19,0,0
C40 H71 N1 O3,40,71,3,1,0
C19 H8 O15,19,8,15,0,0
C24 H18 N2 O12 S1,24,18,12,2,1
C26 13C1 H18 N2 O20,26,18,20,2,0
C25 H32 O14,25,32,14,0,0
C36 13C1 H71 N1 O6,36,71,6,1,0
C38 H74 O4 S1,38,74,4,0,1
C27 13C1 H26 O15,27,26,15,0,0
C31 H18 N2 O18 34S1,31,18,18,2,0
C17 H20 O6,17,20,6,0,0
C21 H20 O9,21,20,9,0,0
C28 13C1 H28 N2 O26 S1,28,28,26,2,1
C23 H19 N1 O20 S1,23,19,20,1,1
C51 H82 O3 S1,51,82,3,0,1
C18 H8 O10,18,8,10,0,0
C21 H8 O14,21,8,14,0,0
C42 H77 N1 O6,42,77,6,1,0
C43 H80 O3 S1,43,80,3,0,1
C37 13C1 H73 N1 O4 S1,37,73,4,1,1
C19 13C1 H18 O10,19,18,10,0,0
C35 H71 N1 O3,35,71,3,1,0
C30 H29 N1 O27,30,29,27,1,0
C50 H75 N1 O4,50,75,4,1,0
C39 H70 N2 O3,39,70,3,2,0
C28 H34 O19,28,34,19,0,0
C21 H14 O11,21,14,11,0,0
C13 H10 O10 S1,13,10,10,0,1
C44 13C1 H70 O2,44,70,2,0,0
C16 13C1 H22 O8,16,22,8,0,0
C40 H74 N2 O3,40,74,3,2,0
C31 H28 O25 S1,31,28,25,0,1
C27 H28 O13,27,28,13,0,0
C18 H16 O7,18,16,7,0,0
C25 H32 O15,25,32,15,0,0
C22 H24 O10,22,24,10,0,0
C25 13C1 H15 N1 O16,25,15,16,1,0
C28 H26 N2 O15,28,26,15,2,0
C30 H34 O18,30,34,18,0,0
C34 13C1 H22 O24,34,22,24,0,0
C34 H22 O15 S1 34S1,34,22,15,0,1
C24 H20 N2 O25,24,20,25,2,0
C33 H36 N2 O23 S1 34S1,33,36,23,2,1
C26 13C1 H18 N2 O19 S1,26,18,19,2,1
C41 H73 N1 O1 S1,41,73,1,1,1
