formula_string,C,H,O,N,S
C22 H15 N1 O13,22,15,13,1,0
C14 H10 O5,14,10,5,0,0
C10 H10 O8,10,10,8,0,0
C23 13C1 H22 O15,23,22,15,0,0
C25 13C1 H20 O18,25,20,18,0,0
C9 H10 O4,9,10,4,0,0
C18 H16 O8,18,16,8,0,0
C19 H24 O12,19,24,12,0,0
C29 13C1 H18 O18 S1,29,18,18,0,1
C22 13C1 H24 O18,22,24,18,0,0
C19 H32 O4 S1,19,32,4,0,1
C14 H15 N1 O8,14,15,8,1,0
C19 H20 N2 O21,19,20,21,2,0
C39 H76 O5,39,76,5,0,0
C31 H32 O21,31,32,21,0,0
C25 13C1 H18 O9 S1 34S1,25,18,9,0,1
C29 H18 O18,29,18,18,0,0
C42 H78 O5 S1,42,78,5,0,1
C27 H20 O8 S1,27,20,8,0,1
C22 H26 O14,22,26,14,0,0
C11 H14 O6,11,14,6,0,0
C25 13C1 H26 O20,25,26,20,0,0
C19 13C1 H12 O12,19,12,12,0,0
C20 13C1 H16 O15,20,16,15,0,0
C10 H6 N2 O2,10,6,2,2,0
C31 H18 N2 O19 S1,31,18,19,2,1
C25 H16 O25,25,16,25,0,0
C24 H26 O14,24,26,14,0,0
C20 H22 O14,20,22,14,0,0
C29 13C1 H22 O21,29,22,21,0,0
C17 H14 O6,17,14,6,0,0
C17 H12 O7,17,12,7,0,0
C25 H24 O13,25,24,13,0,0
C33 H19 N1 O21,33,19,21,1,0
C42 H72 N2 O3,42,72,3,2,0
C20 H18 O13,20,18,13,0,0
C28 13C1 H20 O21,28,20,21,0,0
C17 13C1 H12 O10,17,12,10,0,0
C20 H26 O12,20,26,12,0,0
C19 13C1 H20 N2 O17,19,20,17,2,0
C19 13C1 H14 O14,19,14,14,0,0
C11 H14 O5,11,14,5,0,0
C30 13C1 H30 O19,30,30,19,0,0
C19 H24 O10,19,24,10,0,0
C30 H18 O19,30,18,19,0,0
C15 H12 O9,15,12,9,0,0
C20 H26,20,26,0,0,0
C25 13C1 H18 O16,25,18,16,0,0
C28 H16 O22,28,16,22,0,0
C29 H26 N2 O21 S1,29,26,21,2,1
C16 13C1 H14 O12,16,14,12,0,0
C23 13C1 H22 O17,23,22,17,0,0
C25 13C1 H20 O20,25,20,20,0,0
C30 H18 N2 O17,30,18,17,2,0
C21 H24 O17,21,24,17,0,0
C15 H15 N1 O9,15,15,9,1,0
C17 13C1 H10 O12,17,10,12,0,0
C44 H73 N1 S1,44,73,0,1,1
C17 H18 O7,17,18,7,0,0
C19 13C1 H22 O10,19,22,10,0,0
C30 H26 N2 O17 S1,30,26,17,2,1
C18 H22 O15,18,22,15,0,0
C23 H12 O15,23,12,15,0,0
C19 H8 O14,19,8,14,0,0
C12 13C1 H10 O10,12,10,10,0,0
C16 H21 N1 O9,16,21,9,1,0
C25 13C1 H26 N2 O23 S1,25,26,23,2,1
C15 H10 O10,15,10,10,0,0
C35 H72 O4,35,72,4,0,0
C18 H19 N1 O14,18,19,14,1,0
C13 H11 N1 O6,13,11,6,1,0
C21 H22 N2 O18,21,22,18,2,0
C25 H24 N2 O22 S1,25,24,22,2,1
C33 H20 O20,33,20,20,0,0
C14 H11 N1 O7,14,11,7,1,0
C40 13C1 H78 O3 S1,40,78,3,0,1
C32 H29 N1 O24,32,29,24,1,0
C30 H26 O23,30,26,23,0,0
C19 13C1 H24 O14,19,24,14,0,0
C15 H8 O9,15,8,9,0,0
C28 H27 N1 O15 S1 34S1,28,27,15,1,1
C27 H25 N1 O18 S1,27,25,18,1,1
C17 H8 O10,17,8,10,0,0
C24 H24 O14,24,24,14,0,0
C12 H6 O6,12,6,6,0,0
C30 H20 O15 S1 34S1,30,20,15,0,1
C27 13C1 H24 O20,27,24,20,0,0
C34 H28 O24,34,28,24,0,0
C30 H20 N2 O16,30,20,16,2,0
C22 H17 N1 O11 S1,22,17,11,1,1
C25 H16 O21,25,16,21,0,0
C14 13C1 H16 O16 S1,14,16,16,0,1
C16 13C1 H18 O14,16,18,14,0,0
C17 H10 O14,17,10,14,0,0
C19 H18 O21 S1,19,18,21,0,1
C22 H20 N2 O20,22,20,20,2,0
C12 H13 N1 O9,12,13,9,1,0
C28 H26 O21,28,26,21,0,0
C11 13C1 H10 O10,11,10,10,0,0
C11 H9 N1 O6,11,9,6,1,0
C34 H26 O22,34,26,22,0,0
C41 H79 N1 O2 S1,41,79,2,1,1
C27 13C1 H30 O19,27,30,19,0,0
C14 H15 N1 O7,14,15,7,1,0
C36 13C1 H74 O2,36,74,2,0,0
C21 H11 N1 O17,21,11,17,1,0
C27 H16 O18,27,16,18,0,0
C21 13C1 H10 O15,21,10,15,0,0
C28 H32 O16,28,32,16,0,0
C20 H19 N1 O14,20,19,14,1,0
C25 13C1 H13 N1 O17,25,13,17,1,0
C26 H24 O15,26,24,15,0,0
C22 H18 O12 S1,22,18,12,0,1
C21 H21 N1 O11,21,21,11,1,0
C17 H20 O18 S1,17,20,18,0,1
C30 13C1 H26 O18,30,26,18,0,0
C24 13C1 H24 N2 O23 S1,24,24,23,2,1
C32 13C1 H20 O21,32,20,21,0,0
C36 H74 O6 S1,36,74,6,0,1
C21 13C1 H14 O17,21,14,17,0,0
C18 H12 O3 S1,18,12,3,0,1
C18 H10 O5,18,10,5,0,0
C27 13C1 H26 O17,27,26,17,0,0
C22 13C1 H24 O13,22,24,13,0,0
C15 13C1 H20 O12,15,20,12,0,0
C12 13C1 H16 O7,12,16,7,0,0
C28 H21 N1 O16,28,21,16,1,0
C12 H10 O7,12,10,7,0,0
C25 13C1 H18 O20,25,18,20,0,0
C23 13C1 H20 O13,23,20,13,0,0
C30 H27 N1 O18 S1,30,27,18,1,1
C17 H16 O15,17,16,15,0,0
C21 H25 N1 O20 S1,21,25,20,1,1
C16 H14 O10,16,14,10,0,0
C20 13C1 H20 O15,20,20,15,0,0
C32 H26 O22,32,26,22,0,0
C31 H29 N1 O20 S1 34S1,31,29,20,1,1
C23 H22 O17,23,22,17,0,0
C8 H18 N2 O9 S1 34S1,8,18,9,2,1
C43 H80 O7,43,80,7,0,0
C15 H6 O10,15,6,10,0,0
C20 H12 O9 S1,20,12,9,0,1
C24 13C1 H24 O20,24,24,20,0,0
C18 H14 N2 O19 S1,18,14,19,2,1
